context_uid,page,context_index,context
11_0,11,0,"CLINICAL STATEMENTS  
AND GUIDELINESare intended for those whose height, body surface area 
(BSA), or both is within 1 to 2 standard deviations of the 
mean. For male and female patients who are significantly 
shorter or taller than average, these diameters need to 
be adjusted downward or upward, accordingly. Several 
methods to normalize aortic diameter are currently used 
in clinical practice and clinical research. The Z-Score
The z-score is routinely used to assess aortic dilation 
in the pediatric population, as changes in a child’s age 
and body size make it especially challenging to define 
normal aortic size and to distinguish normal from patho-
logic aortic growth. Nomograms have been established correlating BSA and aortic root diameter to generate 
the z-score. One limitation of the reliance on BSA is that 
there are multiple formulae to calculate BSA that yield 
different results for the same patient. A second limitation 
is that multiple z-score calculators exist, each performing 
differently.10 Finally, most of the literature on the natu-
ral history of acute aortic syndromes (AAS) is based on 
aortic diameters, whereas reports of outcome based on 
z-scores are limited, so the z-score is not typically used to 
report the degree of aortic dilation in adults. The Aortic Size Index and Aortic Height Index
Most often, in the clinical care of adult patients, aortic 
diameters are normalized using a ratio of aortic diameter 
Figure 4."
11_1,11,1,"One limitation of the reliance on BSA is that 
there are multiple formulae to calculate BSA that yield 
different results for the same patient. A second limitation 
is that multiple z-score calculators exist, each performing 
differently.10 Finally, most of the literature on the natu-
ral history of acute aortic syndromes (AAS) is based on 
aortic diameters, whereas reports of outcome based on 
z-scores are limited, so the z-score is not typically used to 
report the degree of aortic dilation in adults. The Aortic Size Index and Aortic Height Index
Most often, in the clinical care of adult patients, aortic 
diameters are normalized using a ratio of aortic diameter 
Figure 4. Patients with moderate dilation of the 
ascending aorta (4.5 cm–4.9 cm) had a 
significantly increased risk of future aortic 
complications (aneurysm, dissection, or 
sudden death). Reprinted from Borger et 
al.4 Copyright 2004, with permission from 
Elsevier, Inc. and the American Association 
for Thoracic Surgery. Relative Risk of Aortic 
Dissection by Size Range. The relative risk of aortic dissection begins 
to increase appreciably at a diameter 
of 4.0 cm to 4.4 cm and then increases 
dramatically at a diameter of ≥4.5 cm. Reprinted from Paruchuri et al.5 Copyright 
2005, with permission from Karger 
Publishers, Basel‚ Switzerland."
12_0,12,0,"CLINICAL STATEMENTS  
AND GUIDELINESto BSA or aortic diameter to the patient’s height. In 2006, 
Davies et al11 showed that aortic size index (ASI), which is 
defined as aortic diameter (cm)/BSA(m2), is a better pre-
dictor of adverse aortic events than diameter alone, and 
that a simple nomogram could be used to stratify those 
with aortic aneurysms into low-, medium-, and high-risk 
groups. However, it is unclear whether the weight of an 
adult has a significant impact on the expected normal 
aortic diameter, and one would not expect a patient’s 
aorta to grow or shrink with significant fluctuations in 
weight. Zafar et al12 therefore examined whether aortic 
height index (AHI), which is defined as aortic diameter 
(cm)/patient height (m), might perform better than the 
ASI, and they reported that the AHI performed at least as 
well as the ASI12 and had the advantage of being simpler 
to calculate. The Cross-Sectional Area to Height Ratio
Another approach to normalizing aortic size to height 
was proposed by Svensson et al in 200213 in which they 
calculated a ratio of the cross-sectional area of the aorta 
(cm) to the patient’s height (m). The initial studies used 
a cross-sectional area to height ratio of >10 cm2/m 
as a threshold for intervention because of a signifi-
cant increase in risk of adverse events; notably, in more 
contemporary reports, this group has shown the sim-pler cross-sectional area to height ratio of ≥10 cm2/m 
(rather than >10 cm2/m) as the threshold predictive of 
increased risk.14,15
2.4."
12_1,12,1,"Zafar et al12 therefore examined whether aortic 
height index (AHI), which is defined as aortic diameter 
(cm)/patient height (m), might perform better than the 
ASI, and they reported that the AHI performed at least as 
well as the ASI12 and had the advantage of being simpler 
to calculate. The Cross-Sectional Area to Height Ratio
Another approach to normalizing aortic size to height 
was proposed by Svensson et al in 200213 in which they 
calculated a ratio of the cross-sectional area of the aorta 
(cm) to the patient’s height (m). The initial studies used 
a cross-sectional area to height ratio of >10 cm2/m 
as a threshold for intervention because of a signifi-
cant increase in risk of adverse events; notably, in more 
contemporary reports, this group has shown the sim-pler cross-sectional area to height ratio of ≥10 cm2/m 
(rather than >10 cm2/m) as the threshold predictive of 
increased risk.14,15
2.4. Definitions and Classification of Acute 
Aortic Syndrome (AAS)
AAS are life-threatening conditions in which there is a 
breach in the integrity of the aortic wall. The most com-
mon AAS are aortic dissection, intramural hematoma 
(IMH), and penetrating atherosclerotic ulcer (PAU), all of 
which can lead to rupture (Figure 6). Aortic Dissection
Aortic dissection is the most common of the AAS."
12_2,12,2,"Definitions and Classification of Acute 
Aortic Syndrome (AAS)
AAS are life-threatening conditions in which there is a 
breach in the integrity of the aortic wall. The most com-
mon AAS are aortic dissection, intramural hematoma 
(IMH), and penetrating atherosclerotic ulcer (PAU), all of 
which can lead to rupture (Figure 6). Aortic Dissection
Aortic dissection is the most common of the AAS. Aor-
tic dissection occurs when there is an intimal tear that 
allows the blood to pass through the tear and into the 
aortic media, splitting the intima in 2 longitudinally, cre-
ating a dissection flap that divides the true lumen from 
a newly formed false lumen (Figure 6). The dissection 
flap can propagate in an antegrade or retrograde fashion 
and lead to a number of life-threatening complications, 
including acute aortic regurgitation (AR), myocardial 
ischemia, cardiac tamponade, acute stroke, or malperfu-
sion syndromes. The blood surging in the false lumen 
Figure 6. In aortic dissection, a tear in the aortic 
intima allows blood to penetrate the aortic 
media, pushing the dissection flap into 
the middle of the aorta, separating the 
true from the false lumen. In intramural 
hematoma, blood leaks into the aortic 
media at low pressure, forming a thrombus 
that pushes the outer wall of the aorta 
outward, leaving a relatively normal 
appearing aortic lumen. A penetrating 
atherosclerotic ulcer allows blood to 
enter the aortic media, but atherosclerotic 
scarring of the aorta typically confines 
the blood collection, often resulting in a 
localized dissection or pseudoaneurysm."
12_3,12,3,"In aortic dissection, a tear in the aortic 
intima allows blood to penetrate the aortic 
media, pushing the dissection flap into 
the middle of the aorta, separating the 
true from the false lumen. In intramural 
hematoma, blood leaks into the aortic 
media at low pressure, forming a thrombus 
that pushes the outer wall of the aorta 
outward, leaving a relatively normal 
appearing aortic lumen. A penetrating 
atherosclerotic ulcer allows blood to 
enter the aortic media, but atherosclerotic 
scarring of the aorta typically confines 
the blood collection, often resulting in a 
localized dissection or pseudoaneurysm. Adapted with permission from Springer 
Nature Customer Service Centre GmbH: 
Springer Nature, Clough et al‚1 Copyright 
2015."
13_0,13,0,"CLINICAL STATEMENTS  
AND GUIDELINESmay rupture back through the intima into the true lumen, 
creating a reentry tear. If the blood in the false lumen 
instead tears through the outer media and adventitia, 
aortic rupture will result. The incidence of aortic dissec-
tion is estimated to be 5 to 30 cases per million people 
per year, with men more commonly affected. Most dis-
sections occur in those between the ages of 50 to 70 
years, although patients with Marfan syndrome, BAV, 
Loeys-Dietz syndrome, and vascular Ehlers-Danlos syn-
drome, present at younger ages.2.4.1.1. Definition
Aortic dissection has traditionally been defined as 
“acute” during the first 2 weeks after symptom onset and 
“chronic” when beyond the second week. Investigators 
from the International Registry of Acute Aortic Dissec-
tion (IRAD) proposed that aortic dissection be divided 
into 4 temporal types: hyperacute (<24 h), acute (2–7 
d), subacute (8–30 d), and chronic (>30 d).2 The most 
contemporary temporal classification system, proposed 
by the SVS and STS, similarly divides aortic dissection 
into 4 temporal types, as shown in Table 3, to improve 
prognostication and guide decision making about the 
timing and types of potential intervention."
13_1,13,1,"Most dis-
sections occur in those between the ages of 50 to 70 
years, although patients with Marfan syndrome, BAV, 
Loeys-Dietz syndrome, and vascular Ehlers-Danlos syn-
drome, present at younger ages.2.4.1.1. Definition
Aortic dissection has traditionally been defined as 
“acute” during the first 2 weeks after symptom onset and 
“chronic” when beyond the second week. Investigators 
from the International Registry of Acute Aortic Dissec-
tion (IRAD) proposed that aortic dissection be divided 
into 4 temporal types: hyperacute (<24 h), acute (2–7 
d), subacute (8–30 d), and chronic (>30 d).2 The most 
contemporary temporal classification system, proposed 
by the SVS and STS, similarly divides aortic dissection 
into 4 temporal types, as shown in Table 3, to improve 
prognostication and guide decision making about the 
timing and types of potential intervention. Acute aortic dissection of the ascending aorta is highly 
lethal in symptomatic patients left untreated, with an early 
mortality of 1% to 2% per hour after symptom onset.3 The 
mortality rate is increased among patients who present 
with or develop complications of cardiac tamponade (with 
or without cardiogenic shock), acute myocardial ischemia 
or infarction, stroke, or organ malperfusion.3 Patients 
with uncomplicated acute type B aortic dissection have 
a 30-day mortality rate of 10%. However, when patients 
with acute type B aortic dissection develop complica-Table 3."
13_2,13,2,"Investigators 
from the International Registry of Acute Aortic Dissec-
tion (IRAD) proposed that aortic dissection be divided 
into 4 temporal types: hyperacute (<24 h), acute (2–7 
d), subacute (8–30 d), and chronic (>30 d).2 The most 
contemporary temporal classification system, proposed 
by the SVS and STS, similarly divides aortic dissection 
into 4 temporal types, as shown in Table 3, to improve 
prognostication and guide decision making about the 
timing and types of potential intervention. Acute aortic dissection of the ascending aorta is highly 
lethal in symptomatic patients left untreated, with an early 
mortality of 1% to 2% per hour after symptom onset.3 The 
mortality rate is increased among patients who present 
with or develop complications of cardiac tamponade (with 
or without cardiogenic shock), acute myocardial ischemia 
or infarction, stroke, or organ malperfusion.3 Patients 
with uncomplicated acute type B aortic dissection have 
a 30-day mortality rate of 10%. However, when patients 
with acute type B aortic dissection develop complica-Table 3. Classiﬁcation of A ortic Dissection Chronicity Based 
on the 2020 SVS
Chronicity Time From Onset of Symptoms
Hyperacute <24 h
Acute 1–14 d
Subacute 15–9 0 d
Chronic >90 d
Adapted with permission from Springer Nature Customer Service Centre 
GmbH: Springer Nature, Clough RE, et al.1 Copyright 2015. STS indicates Society of Thoracic Surgeons; and SVS, Society for Vascular 
Surgery. The DeBakey and Stanford classification systems are used most commonly."
13_3,13,3,"Classiﬁcation of A ortic Dissection Chronicity Based 
on the 2020 SVS
Chronicity Time From Onset of Symptoms
Hyperacute <24 h
Acute 1–14 d
Subacute 15–9 0 d
Chronic >90 d
Adapted with permission from Springer Nature Customer Service Centre 
GmbH: Springer Nature, Clough RE, et al.1 Copyright 2015. STS indicates Society of Thoracic Surgeons; and SVS, Society for Vascular 
Surgery. The DeBakey and Stanford classification systems are used most commonly. The DeBakey system offers greater anatomic detail, whereas the 
Stanford system is simpler, essentially distinguishing those dissections that involve the ascending thoracic aorta from those that do not."
14_0,14,0,"CLINICAL STATEMENTS  
AND GUIDELINEStions, such as malperfusion or rupture, the mortality rate 
increases to 20% by day 2 and to 25% by day 30.3
2.4.1.2. Classification
There are 2 commonly used anatomic classification sys-
tems for aortic dissection (Figure 7): the DeBakey sys-
tem and the Stanford system."
14_1,14,1,"CLINICAL STATEMENTS  
AND GUIDELINEStions, such as malperfusion or rupture, the mortality rate 
increases to 20% by day 2 and to 25% by day 30.3
2.4.1.2. Classification
There are 2 commonly used anatomic classification sys-
tems for aortic dissection (Figure 7): the DeBakey sys-
tem and the Stanford system. The DeBakey system categorizes dissections into 
types I, II, and III, based on the origin of the intimal tear 
and the extent of the dissection:
● T ype I: Dissection tear originates in the ascending 
aorta and propagates distally to include the aortic 
arch and typically the descending aorta
● T ype II: Dissection tear is confined only to the 
ascending aorta
● T ype III: Dissection tear originates in the descend-
ing thoracic aorta and propagates most often 
distally
○ T ype IIIa: Dissection tear is confined only to the 
descending thoracic aorta
○ T ype IIIb: Dissection tear originates in the 
descending thoracic aorta and extends below 
the diaphragm
The Stanford classification system divides dissections 
into 2 categories according to whether the ascending 
aorta is involved or not, regardless of the site of origin:
● T ype A: All dissections involving the ascending 
aorta, irrespective of the site of the intimal tear
● T ype B: All dissections that do not involve the 
ascending aorta (including dissections that involve 
the aortic arch but spare the ascending aorta)
In 2019, the European Association for Cardio-Thoracic 
ment of thoracic arch pathologies, in which they added 
a third category called “non-A-non-B dissection,” to be 
used for patients whose proximal dissection flap begins 
in the aortic arch.Most recently, in 2020, the SVS and the 
STS proposed an entirely new classification scheme that 
defines the aortic dissection anatomy in more granular 
detail5: Dissections are defined anatomically according 
to the location of intimal tears and the proximal and distal 
extent of the dissection process (Figure 8)."
14_2,14,2,"CLINICAL STATEMENTS  
AND GUIDELINEStions, such as malperfusion or rupture, the mortality rate 
increases to 20% by day 2 and to 25% by day 30.3
2.4.1.2. Classification
There are 2 commonly used anatomic classification sys-
tems for aortic dissection (Figure 7): the DeBakey sys-
tem and the Stanford system. The DeBakey system categorizes dissections into 
types I, II, and III, based on the origin of the intimal tear 
and the extent of the dissection:
● T ype I: Dissection tear originates in the ascending 
aorta and propagates distally to include the aortic 
arch and typically the descending aorta
● T ype II: Dissection tear is confined only to the 
ascending aorta
● T ype III: Dissection tear originates in the descend-
ing thoracic aorta and propagates most often 
distally
○ T ype IIIa: Dissection tear is confined only to the 
descending thoracic aorta
○ T ype IIIb: Dissection tear originates in the 
descending thoracic aorta and extends below 
the diaphragm
The Stanford classification system divides dissections 
into 2 categories according to whether the ascending 
aorta is involved or not, regardless of the site of origin:
● T ype A: All dissections involving the ascending 
aorta, irrespective of the site of the intimal tear
● T ype B: All dissections that do not involve the 
ascending aorta (including dissections that involve 
the aortic arch but spare the ascending aorta)
In 2019, the European Association for Cardio-Thoracic 
ment of thoracic arch pathologies, in which they added 
a third category called “non-A-non-B dissection,” to be 
used for patients whose proximal dissection flap begins 
in the aortic arch.Most recently, in 2020, the SVS and the 
STS proposed an entirely new classification scheme that 
defines the aortic dissection anatomy in more granular 
detail5: Dissections are defined anatomically according 
to the location of intimal tears and the proximal and distal 
extent of the dissection process (Figure 8). AD indicates type A is used for any dissection with an 
entry tear in zone 0 and extends distally the zone denoted 
by the subscript D (eg, A9); BPD, type B is used for any 
dissection with an entry tear in zone 1 or beyond; the 
proximal and distal extents of the dissection are denoted 
by subscripts P and D, respectively (eg, B39)."
14_3,14,3,"Classification
There are 2 commonly used anatomic classification sys-
tems for aortic dissection (Figure 7): the DeBakey sys-
tem and the Stanford system. The DeBakey system categorizes dissections into 
types I, II, and III, based on the origin of the intimal tear 
and the extent of the dissection:
● T ype I: Dissection tear originates in the ascending 
aorta and propagates distally to include the aortic 
arch and typically the descending aorta
● T ype II: Dissection tear is confined only to the 
ascending aorta
● T ype III: Dissection tear originates in the descend-
ing thoracic aorta and propagates most often 
distally
○ T ype IIIa: Dissection tear is confined only to the 
descending thoracic aorta
○ T ype IIIb: Dissection tear originates in the 
descending thoracic aorta and extends below 
the diaphragm
The Stanford classification system divides dissections 
into 2 categories according to whether the ascending 
aorta is involved or not, regardless of the site of origin:
● T ype A: All dissections involving the ascending 
aorta, irrespective of the site of the intimal tear
● T ype B: All dissections that do not involve the 
ascending aorta (including dissections that involve 
the aortic arch but spare the ascending aorta)
In 2019, the European Association for Cardio-Thoracic 
ment of thoracic arch pathologies, in which they added 
a third category called “non-A-non-B dissection,” to be 
used for patients whose proximal dissection flap begins 
in the aortic arch.Most recently, in 2020, the SVS and the 
STS proposed an entirely new classification scheme that 
defines the aortic dissection anatomy in more granular 
detail5: Dissections are defined anatomically according 
to the location of intimal tears and the proximal and distal 
extent of the dissection process (Figure 8). AD indicates type A is used for any dissection with an 
entry tear in zone 0 and extends distally the zone denoted 
by the subscript D (eg, A9); BPD, type B is used for any 
dissection with an entry tear in zone 1 or beyond; the 
proximal and distal extents of the dissection are denoted 
by subscripts P and D, respectively (eg, B39). ID, when a 
dissection begins in zone 0 but the location of the entry 
tear has not been identified, it will be considered “Inde-
terminate”; it will be designated with an I and its distal 
extent denoted by the subscript D (eg, I9)."
